CD|pH|Cl|2020,0,13,6,57,3130|2020,0,13,6,57,9.04|2020,0,13,6,57,1.35|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0|2020,0,13,6,57,0000000000|2020,0,13,6,57,0000019411|2020,0,13,6,57,28.5|
CD|pH|Cl|2020,0,13,7,57,3300|2020,0,13,7,57,9.03|2020,0,13,7,57,1.35|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0|2020,0,13,7,57,0000000000|2020,0,13,7,57,0000019411|2020,0,13,7,57,28.2|
CD|pH|Cl|2020,0,13,8,56,3390|2020,0,13,8,56,9.03|2020,0,13,8,56,1.3|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0|2020,0,13,8,56,0000000000|2020,0,13,8,56,0000019411|2020,0,13,8,56,28.2|
CD|pH|Cl|2020,0,13,9,56,3440|2020,0,13,9,56,9.13|2020,0,13,9,56,0.96|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0|2020,0,13,9,56,0000000000|2020,0,13,9,56,0000020047|2020,0,13,9,56,28.5|
CD|pH|Cl|2020,0,13,10,56,2840|2020,0,13,10,56,9.03|2020,0,13,10,56,4.07|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0|2020,0,13,10,56,0000000000|2020,0,13,10,56,0000020863|2020,0,13,10,56,28.4|
CD|pH|Cl|2020,0,13,11,56,2830|2020,0,13,11,56,9.04|2020,0,13,11,56,2.98|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0|2020,0,13,11,56,0000000000|2020,0,13,11,56,0000020863|2020,0,13,11,56,28.4|
CD|pH|Cl|2020,0,13,12,56,3050|2020,0,13,12,56,9.03|2020,0,13,12,56,2.33|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0|2020,0,13,12,56,0000000000|2020,0,13,12,56,0000020863|2020,0,13,12,56,28.5|
CD|pH|Cl|2020,0,13,13,55,3110|2020,0,13,13,55,9.03|2020,0,13,13,55,1.65|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0|2020,0,13,13,55,0000000000|2020,0,13,13,55,0000020863|2020,0,13,13,55,28.5|
CD|pH|Cl|2020,0,13,14,55,3270|2020,0,13,14,55,9.04|2020,0,13,14,55,1.26|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0|2020,0,13,14,55,0000000000|2020,0,13,14,55,0000020863|2020,0,13,14,55,28.4|
CD|pH|Cl|2020,0,13,15,55,3020|2020,0,13,15,55,9.04|2020,0,13,15,55,1.54|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0|2020,0,13,15,55,0000000000|2020,0,13,15,55,0000021746|2020,0,13,15,55,28.5|
